utilization.gpu [], utilization.memory []
0 , 1 
5 , 1 
91 , 70 
91 , 70 
47 , 36 
46 , 35 
52 , 41 
56 , 43 
42 , 30 
94 , 73 
93 , 72 
91 , 70 
93 , 71 
49 , 38 
73 , 59 
43 , 32 
46 , 36 
93 , 72 
94 , 73 
90 , 69 
91 , 68 
50 , 39 
52 , 41 
57 , 43 
57 , 43 
93 , 72 
96 , 74 
90 , 69 
89 , 69 
57 , 43 
46 , 35 
20 , 16 
56 , 43 
94 , 72 
94 , 73 
91 , 69 
90 , 68 
57 , 43 
57 , 44 
57 , 44 
54 , 42 
97 , 75 
96 , 73 
10 , 3 
0 , 1 
0 , 1 
0 , 1 
1 , 1 
0 , 1 
0 , 1 
