utilization.gpu [], utilization.memory []
1 , 1 
4 , 1 
48 , 37 
50 , 38 
92 , 75 
49 , 38 
51 , 39 
50 , 38 
50 , 38 
45 , 35 
93 , 72 
53 , 41 
56 , 43 
56 , 43 
57 , 44 
55 , 43 
51 , 39 
51 , 39 
90 , 70 
94 , 73 
55 , 43 
55 , 43 
55 , 42 
51 , 39 
54 , 42 
52 , 41 
50 , 39 
77 , 59 
94 , 73 
49 , 38 
43 , 33 
52 , 40 
49 , 38 
52 , 41 
9 , 8 
56 , 43 
92 , 70 
95 , 74 
57 , 44 
52 , 40 
52 , 40 
57 , 44 
52 , 41 
58 , 43 
55 , 40 
97 , 77 
95 , 73 
0 , 1 
0 , 1 
0 , 1 
