utilization.gpu [], utilization.memory []
0 , 1 
4 , 1 
2 , 1 
92 , 70 
91 , 69 
91 , 70 
92 , 71 
78 , 61 
92 , 72 
90 , 69 
92 , 71 
90 , 69 
91 , 70 
92 , 71 
89 , 62 
89 , 69 
91 , 69 
80 , 61 
82 , 63 
77 , 59 
96 , 75 
96 , 73 
89 , 67 
90 , 68 
89 , 66 
90 , 68 
92 , 71 
94 , 72 
90 , 69 
90 , 69 
88 , 65 
88 , 65 
81 , 60 
95 , 72 
94 , 72 
6 , 2 
12 , 4 
1 , 1 
2 , 2 
2 , 2 
5 , 2 
0 , 1 
0 , 1 
0 , 1 
1 , 1 
6 , 2 
0 , 1 
2 , 2 
0 , 1 
1 , 1 
