utilization.gpu [], utilization.memory []
2 , 1 
5 , 1 
89 , 68 
93 , 72 
46 , 35 
43 , 33 
50 , 39 
46 , 35 
43 , 33 
96 , 74 
94 , 73 
92 , 70 
93 , 72 
43 , 33 
45 , 35 
56 , 43 
52 , 40 
93 , 71 
95 , 73 
93 , 71 
91 , 70 
44 , 33 
51 , 39 
56 , 44 
49 , 38 
61 , 47 
92 , 72 
91 , 70 
91 , 70 
49 , 38 
42 , 32 
100 , 84 
51 , 40 
49 , 38 
95 , 74 
94 , 73 
90 , 70 
55 , 42 
53 , 41 
52 , 41 
50 , 38 
57 , 44 
48 , 37 
92 , 71 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
1 , 1 
0 , 1 
