utilization.gpu [], utilization.memory []
1 , 1 
6 , 1 
0 , 1 
0 , 1 
2 , 1 
90 , 69 
91 , 70 
57 , 44 
46 , 36 
44 , 33 
43 , 33 
94 , 72 
95 , 73 
93 , 71 
90 , 69 
53 , 41 
56 , 43 
56 , 43 
54 , 42 
90 , 70 
93 , 72 
98 , 80 
92 , 71 
47 , 36 
49 , 38 
54 , 42 
55 , 43 
95 , 73 
95 , 73 
93 , 71 
57 , 44 
51 , 40 
44 , 35 
37 , 29 
51 , 40 
80 , 61 
93 , 71 
93 , 71 
93 , 72 
56 , 44 
50 , 39 
45 , 34 
47 , 37 
73 , 57 
93 , 71 
54 , 42 
0 , 1 
0 , 1 
0 , 1 
0 , 1 
